variable,value,n,percent_total,n_unique_variable
a1_bairro,Outro,44,34.65,10
a1_bairro,Missira,21,16.54,10
a1_bairro,Sintra,15,11.81,10
a1_bairro,Cuntum Madina,14,11.02,10
a1_bairro,B. Ajuda,11,8.66,10
a1_bairro,Quelele,8,6.3,10
a1_bairro,B. Militar,5,3.94,10
a1_bairro,Luanda,4,3.15,10
a1_bairro,Pessak,4,3.15,10
a1_bairro,Reno,1,0.79,10
a2_associacao,Ajuda Mutua,45,35.43,5
a2_associacao,Outro,40,31.5,5
a2_associacao,Manel água,25,19.69,5
a2_associacao,Madina de Volta,14,11.02,5
a2_associacao,Edena (La ki nota kumenel),3,2.36,5
a3_escolaridade,4.ª classe (ensino básico),74,58.27,4
a3_escolaridade,Nunca frequentou a escola,31,24.41,4
a3_escolaridade,Ensino básico completo,19,14.96,4
a3_escolaridade,Ensino superior,3,2.36,4
a4_idade,Entre 41 ou mais anos,100,78.74,5
a4_idade,Entre 36 a 40 anos,10,7.87,5
a4_idade,Entre 31 a 35 anos,8,6.3,5
a4_idade,Entre 26 a 30 anos,8,6.3,5
a4_idade,Entre 21 a 25 anos,1,0.79,5
a6_formacao_pesticidas,Sim,83,65.35,2
a6_formacao_pesticidas,Não,44,34.65,2
a6a_quem_ministrou_formacao,<NA>,44,34.65,16
a6a_quem_ministrou_formacao,IANDA GUINÉ,41,32.28,16
a6a_quem_ministrou_formacao,Projeto,13,10.24,16
a6a_quem_ministrou_formacao,Subsaid,6,4.72,16
a6a_quem_ministrou_formacao,PNUD,5,3.94,16
a6a_quem_ministrou_formacao,Projetos,4,3.15,16
a6a_quem_ministrou_formacao,"PNUD, Micap",2,1.57,16
a6a_quem_ministrou_formacao,Micat,2,1.57,16
a6a_quem_ministrou_formacao,"Micat, Subsaid",2,1.57,16
a6a_quem_ministrou_formacao,Pessoal de Proteção Vegetal,1,0.79,16
a6a_quem_ministrou_formacao,Proteção Vegetal,1,0.79,16
a6a_quem_ministrou_formacao,"Subsaid,Amae e Micat",1,0.79,16
a6a_quem_ministrou_formacao,"Subsaid,FAO IMPA",1,0.79,16
a6a_quem_ministrou_formacao,"FAO,IMPA",1,0.79,16
a6a_quem_ministrou_formacao,"Subsaid, Micat",1,0.79,16
a6a_quem_ministrou_formacao,Mikat,1,0.79,16
a6a_quem_ministrou_formacao,"Subsaid, IANDA GUINÉ",1,0.79,16
b8_organizacao_canteiro,Várias,125,98.43,2
b8_organizacao_canteiro,Uma cultura,2,1.57,2
b9_rotacao_culturas,Não,113,88.98,2
b9_rotacao_culturas,Sim,14,11.02,2
b10_conhece_pesticidas,Sim,127,100.0,1
b11_usa_pesticidas,Sim,124,97.64,2
b11_usa_pesticidas,Não,3,2.36,2
b12_tipos_pesticidas,Inseticidas,125,98.43,2
b12_tipos_pesticidas,Outro,2,1.57,2
b13_local_compra_pesticidas,No mercado,120,94.49,2
b13_local_compra_pesticidas,Outro,7,5.51,2
b14_momento_uso_pesticidas,Quando começa a ver algumas pragas,73,57.48,3
b14_momento_uso_pesticidas,Antes das pragas começarem a atacar,52,40.94,3
b14_momento_uso_pesticidas,Quando a planta tem muitas pragas,1,0.79,3
